designation,source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 3596508242468505216",3596508242468505216,181.63239482426775,-5.827431703143993,9.24011147282385,0.015302104,13.027006,-7.69839,0.8176338,4164.708,4142.567,4177.953,0.2762,0.2115,0.3134,"Gaia DR2 3596508242468505216",181.63240777380452,-5.827431070394164,9.1921,-92.8537,-4.525,-6.6986,2015.5,1.438222918424542E-8
"Gaia DR3 3700937760929835648",3700937760929835648,183.80886041233165,2.0208742535727118,6.9490662110149595,0.025605673,14.254617,50.56423,3.5033379,3900.731,3898.2349,3915.3972,-0.2322,-0.2369,-0.2105,"Gaia DR2 3700937760929835648",183.80887087174006,2.0208764877912606,6.9584,-75.2591,-16.0984,0.0,2015.5,1.689026493402596E-9
"Gaia DR3 3683121446312149504",3683121446312149504,189.00151740517597,-2.669626484365249,7.6432912785967355,0.015279419,13.303105,13.5843525,1.312311,4309.083,4307.028,4310.4863,0.7475,0.7399,0.75,"Gaia DR2 3683121446312149504",189.0015172827551,-2.669621677684217,7.7018,0.7503,-34.5675,14.304,2015.5,1.8938875946499618E-8
"Gaia DR3 145333927996558976",145333927996558976,65.46964391926905,21.35325263592605,13.711309746935616,0.015370281,12.241566,19.625765,1.0567889,4181.3286,4169.883,4184.897,-0.2162,-0.2309,-0.2111,"Gaia DR2 145333927996558976",65.46961404727327,21.353263279532634,13.7077,200.6061,-76.7629,19.5485,2015.5,4.435178304525948E-8
"Gaia DR3 3596003497911958528",3596003497911958528,179.93969939813863,-5.721686888044268,5.097015320408144,0.03180701,11.610603,-36.250057,0.48242545,5425.3164,5354.363,5444.86,0.0264,-0.0617,0.0482,"Gaia DR2 3596003497911958528",179.93970809799544,-5.7216878543797085,5.0403,-62.5163,6.5567,-36.0004,2015.5,6.15840706008521E-8
"Gaia DR3 3600851450836925312",3600851450836925312,180.54088936086393,-3.580908953335301,5.797238870248847,0.028154673,11.639944,16.895847,0.39773342,5383.1523,5373.164,5414.361,-0.0195,-0.03,0.0184,"Gaia DR2 3600851450836925312",180.54088955609814,-3.5809053185803856,5.8197,-1.3616,-26.508,16.4225,2015.5,4.726166789218332E-8
"Gaia DR3 3694878833385971840",3694878833385971840,186.038377734615,-1.1114831606868536,8.006312980700343,0.016093064,11.957663,-31.952555,0.5348312,4673.158,4666.977,4679.6743,-0.0467,-0.0544,-0.037,"Gaia DR2 3694878833385971840",186.03838650157098,-1.1114790039688247,8.0078,-63.1682,-30.235,-30.6966,2015.5,4.334325086261904E-8
"Gaia DR3 3701015375282968064",3701015375282968064,185.18808662014777,2.2823767545301026,2.0691277647590796,0.014776381,11.937561,-4.5358505,0.60805166,6056.3184,6039.7305,6074.742,-0.3191,-0.332,-0.3075,"Gaia DR2 3701015375282968064",185.1880932244651,2.2823787614580304,2.0688,-47.365,-14.8821,0.0,2015.5,6.346851964178633E-8
"Gaia DR3 3899064464855774592",3899064464855774592,178.32967118462992,6.4123199835855225,8.09246613820125,0.02360026,12.992914,-12.053436,2.1817918,,,,,,,"Gaia DR2 3899064464855774592",178.32967457951926,6.412317827483226,7.9646,-24.0956,15.3214,-10.6709,2015.5,3.901828121770663E-8
"Gaia DR3 2538824923230146560",2538824923230146560,18.42412413053569,3.09707761141257,9.306414180639953,0.016371112,12.537027,-7.2269297,0.60290444,4389.408,4368.53,4402.2637,0.3436,0.2908,0.4117,"Gaia DR2 2538824923230146560",18.424101482595713,3.097073249016636,9.1281,162.6347,31.5766,-6.844,2015.5,3.5405112317090934E-8
"Gaia DR3 3578783977588991360",3578783977588991360,189.7041443185766,-10.060592345840286,3.6209741193493605,0.0135729555,12.510833,-17.310621,1.3719244,5671.689,5655.1797,5722.861,-0.2158,-0.2354,-0.1584,"Gaia DR2 3578783977588991360",189.7041426305026,-10.060594165386053,3.6046,11.8419,12.8066,-17.6645,2015.5,4.4406087108775507E-8
"Gaia DR3 3579573358218514944",3579573358218514944,186.5410904125123,-9.62482431530069,2.7558071230122314,0.01735323,11.5169115,41.84057,0.37213716,,,,,,,"Gaia DR2 3579573358218514944",186.5410957591997,-9.624823197086975,2.767,-38.0437,-8.3205,42.0998,2015.5,3.9419286458214075E-8
