Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pme
6453566701615683456,,,,,,,,
646125297938578944,,,,,,,,
6482103014085857024,,,,,,,,
6491038642006989056,,,,,,,,
6492940453524576128,,,,,,,,
6518399301667782016,,,,,,,,
651935220461650560,,,,,,,,
6533307957785865856,,,,,,,,
6534414719318886144,,,,,,,,
6541360574788758016,,,,,,,,
6552346035980010624,,,,,,,,
6582435924022652672,,,,,,,,
6675883485986480256,,,,,,,,
6677909439240233472,,,,,,,,
6683371847364921088,,,,,,,,
6710517793025165696,,,,,,,,
6801474136516893184,,,,,,,,
684992690384102528,,,,,,,,
6857756246957592320,,,,,,,,
6868476691490044672,,,,,,,,
6910753016653587840,,,,,,,,
702295464353437952,,,,,,,,
770622651659107712,,,,,,,,
869913435026514688,,,,,,,,
876608292608416512,,,,,,,,
898130030131443584,,,,,,,,
920308932010648448,,,,,,,,
990291507088739072,,,,,,,,
