Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me
2128273225659492608,5747.7817,32.7037,35.7089,1.0057011,0.0232863,0.02249405,0.0695,0.0329,0.042
2128298617506651904,,,,1.4135875,0.0308886,0.0305237,,,
2128369501647063808,4895.582,18.8653,19.406,0.85861546,0.02703524,0.02755702,0.0035,0.0246,0.022
2128504397979254528,,,,0.9415709,0.02656493,0.0278209,,,
2128724678262662144,,,,1.1503923,0.0236059,0.023615,,,
2128911251641171200,,,,0.8101978,0.01810697,0.01801154,,,
2128925579652377472,,,,1.3059841,0.0096089,0.012742,,,
2129025841368107136,,,,0.80058956,0.01837604,0.01891321,,,
2129084935820532608,,,,0.7232479,0.0170512,0.0170083,,,
2129161734133025408,,,,0.7466309,0.020358,0.02201723,,,
2129495057954829952,,,,1.1871132,0.0186087,0.0168044,,,
2129503235571760128,5703.2744,114.5166,41.2944,0.9812722,0.00912794,0.0171346,-0.0842,0.134,0.0482
2129503716608032256,,,,0.96892846,0.06739374,0.04283411,,,
2129550445852902656,,,,1.2915641,0.0261369,0.0260767,,,
2129753580626548736,,,,1.2994422,0.0096483,0.0120119,,,
2130124219123552256,4777.7144,18.1216,17.959,0.7777847,0.02455,0.0251105,0.11,0.0296,0.0327
2130243550494676480,,,,0.99837255,0.02136015,0.02103395,,,
2130250731680096384,,,,0.88811517,0.03804159,0.03295577,,,
2130320172711659136,,,,1.8491473,0.0374605,0.0374608,,,
2130368310704421120,5860.2896,3.1792,1.9043,1.0642675,0.0222195,0.0221771,-0.3105,0.0061,0.0059
2130405041264941184,,,,0.926849,0.0235325,0.025776,,,
2130460394803778816,,,,0.86319834,0.02166296,0.020805,,,
2130625287187139072,,,,1.4346741,0.0355933,0.0358196,,,
2130634667395736704,,,,0.8803993,0.0192156,0.0208879,,,
2130661880308812800,,,,1.0337691,0.0212012,0.0219578,,,
2130825020347168512,5134.2905,15.919,14.9815,0.88635,0.02617023,0.02371355,0.3476,0.0155,0.0178
2130889204338693504,5942.953,13.2643,13.511,1.0494894,0.0256243,0.0243056,-0.2768,0.0119,0.0116
2131059594280288128,5783.063,85.1587,168.059,1.2015563,0.0335262,0.0372877,0.283,0.0794,0.1906
2131114947819394816,,,,0.75671977,0.02377053,0.02048791,,,
2131169545443676032,,,,,,,,,
2131216137248338304,,,,1.0189062,0.0214408,0.0214332,,,
2131494313689868416,,,,1.6573093,0.0339562,0.0340281,,,
2131709921047710336,,,,1.7063917,0.0393424,0.0370183,,,
2131748747552136960,5639.607,13.04,10.745,0.9203548,0.01988177,0.01993413,-0.2933,0.0119,0.0111
2131859244171951616,,,,1.489741,0.0311584,0.0305329,,,
2132004074768150400,,,,1.8615468,0.0995844,0.0932204,,,
2132144056342471168,4199.4697,4.5928,15.9897,0.7129395,0.0196142,0.01941293,0.4792,0.0182,0.053
2132152916856093952,5871.573,17.025,20.837,1.5360839,0.031864,0.0316102,-0.1123,0.0123,0.014
2132155017099178624,,,,1.1158457,0.0225608,0.0225399,,,
2132178725317511936,,,,2.2048893,0.0459166,0.0458877,,,
2132193431285570304,,,,1.239022,0.0273755,0.0272268,,,
2132215421518219392,,,,1.0107613,0.0206116,0.0205101,,,
2132325200882204544,,,,1.0928732,0.022642,0.0225144,,,
