KOI,Host KOI,Kepler name,Host Gaia DR3 ID,P,P pme,PSR,PSR pme
K00456.02,KOI-456,Kepler-160 b,2102587087846067712       ,4.309241,0.000007,0.0144952,0.0006178
K00679.01,KOI-679,Kepler-212 c,2102610280669509888       ,31.80474,0.00002,0.0165463,0.000601
K00679.02,KOI-679,Kepler-212 b,2102610280669509888       ,16.258358,0.00002,0.0054681,0.001167
K00872.02,KOI-872,Kepler-46 d,2102700131386216576       ,6.766514,0.000013,0.0176764,0.0009192
K01952.01,KOI-1952,Kepler-341 c,2102815683186036096       ,8.010394,0.000016,0.0156541,0.0007419
K01952.02,KOI-1952,Kepler-341 d,2102815683186036096       ,27.666593,0.000019,0.0164219,0.0009224
K01952.03,KOI-1952,Kepler-341 b,2102815683186036096       ,5.19557,0.000018,0.0089477,0.0007225
K01952.04,KOI-1952,Kepler-341 e,2102815683186036096       ,42.473056,0.00002,0.0155778,0.0010166
K00884.03,KOI-884,Kepler-247 b,2102911581215700096       ,3.336125,0.000004,0.0196232,0.000699
K00446.01,KOI-446,Kepler-158 b,2103295173333142784       ,16.709196,0.000016,0.0297081,0.000843
K00446.02,KOI-446,Kepler-158 c,2103295173333142784       ,28.551561,0.000018,0.0253938,0.0009264
K00257.01,KOI-257,Kepler-506 b,2103452266056715392       ,6.883407,0.000002,0.023303,0.0002494
K00505.01,KOI-505,Kepler-169 e,2103788854053938816       ,13.767073,0.000015,0.0253636,0.0010315
K00505.02,KOI-505,Kepler-169 c,2103788854053938816       ,6.195433,0.000013,0.0158351,0.0009981
K00505.03,KOI-505,Kepler-169 b,2103788854053938816       ,3.250592,0.000008,0.0140501,0.0009249
K00505.04,KOI-505,Kepler-169 d,2103788854053938816       ,8.348195,0.00001,0.0167357,0.0009389
K00505.05,KOI-505,Kepler-169 f,2103788854053938816       ,87.090599,0.000021,0.0310157,0.0013062
K00612.01,KOI-612,Kepler-196 b,2104094071610116608       ,20.739916,0.000018,0.025077,0.0005936
K00612.02,KOI-612,Kepler-196 c,2104094071610116608       ,47.42766,0.00002,0.0273178,0.0006394
K00508.01,KOI-508,Kepler-170 b,2104098950692667264       ,7.930589,0.000006,0.0267232,0.0003651
K00508.02,KOI-508,Kepler-170 c,2104098950692667264       ,16.665911,0.000013,0.026278,0.0004352
K01930.04,KOI-1930,Kepler-338 e,2104344141784539264       ,9.341436,0.000015,0.0081421,0.0003276
K01930.02,KOI-1930,Kepler-338 c,2104344141784539264       ,24.311147,0.00002,0.011522,0.0003317
K01930.01,KOI-1930,Kepler-338 b,2104344141784539264       ,13.727074,0.000023,0.012609,0.0003133
K01930.03,KOI-1930,Kepler-338 d,2104344141784539264       ,44.430136,0.00002,0.0138357,0.0003447
K00657.01,KOI-657,Kepler-202 b,2104376405579347968       ,4.069424,0.000003,0.0218653,0.0004323
K00657.02,KOI-657,Kepler-202 c,2104376405579347968       ,16.282491,0.000016,0.0273519,0.0006059
K02148.01,KOI-2148,Kepler-363 d,2104466153215402624       ,11.932081,0.000018,0.0121237,0.0005654
K02148.02,KOI-2148,Kepler-363 c,2104466153215402624       ,7.542335,0.000019,0.0104807,0.0006996
K02148.03,KOI-2148,Kepler-363 b,2104466153215402624       ,3.614611,0.000016,0.0073164,0.0008917
K00284.01,KOI-284,Kepler-132 A d,2104466256290759936       ,18.010173,0.000016,0.0178773,0.0006161
K00284.02,KOI-284,Kepler-132 A c,2104466256290759936       ,6.414909,0.000008,0.0128556,0.0003969
K00284.03,KOI-284,Kepler-132 A b,2104466256290759936       ,6.178258,0.000008,0.0116696,0.000406
K00510.01,KOI-510,Kepler-172 b,2104506319750394624       ,2.940301,0.000008,0.0216443,0.0007118
K00510.02,KOI-510,Kepler-172 c,2104506319750394624       ,6.389019,0.000013,0.0235431,0.0007684
