source_id,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2053586321364864640,5052.205,5029.9795,5080.142,-0.0279,-0.0522,0.0064,Gaia DR3 2053586321364864640,292.2367612281806,41.08587091292437,0.9298,2.1706,-0.3244,0,2016,0
2054523105274216704,8742.581,8682.226,8796.163,0.0172,-0.0137,0.0464,Gaia DR3 2054523105274216704,304.8000325,32.58104453964715,2.0534,2.3691,-0.4169,-13.7765,2016,4.789800387000391E-14
2056007995732413312,6031.483,6030.384,6033.023,-0.2181,-0.223,-0.2135,Gaia DR3 2056007995732413312,306.7411279,33.74438610057065,12.4074,-36.8447,-14.7765,-23.4129,2016,7.105427357601002E-15
2073153024144692736,6426.5894,6414.869,6438.7725,-0.0719,-0.0823,-0.0612,Gaia DR3 2073153024144692736,295.4980725621686,38.644448002403394,0.9687,-6.1791,-13.4258,24.4652,2016,7.105427357601002E-15
2073274618947678464,5572.3813,5547.4897,5597.1694,-0.1961,-0.2203,-0.1708,Gaia DR3 2073274618947678464,296.3586243829047,39.11520331189679,1.015,-4.1137,0.1752,0,2016,7.105427357601002E-15
2073277200237694464,4772.218,4762.275,4789.3613,0.1876,0.1753,0.2019,Gaia DR3 2073277200237694464,296.5245248969319,39.24985297,3.2392,34.3978,19.3011,-11.3271,2016,7.105427357601002E-15
2073539536845074176,5839.9473,5820.3496,5879.7407,-0.1728,-0.1905,-0.1373,Gaia DR3 2073539536845074176,298.9917167138223,40.14225490833302,2.1847,0.8511,-36.4721,-7.3822,2016,7.105427357601002E-15
2073547954981763328,4935.742,4915.4077,4956.136,0.106,0.0783,0.1319,Gaia DR3 2073547954981763328,299.22425369531294,40.34316664535255,1.1514,-11.1872,-2.8287,0,2016,7.105427357601002E-15
2073652546016392448,4459.129,4447.3086,4477.851,0.367,0.3157,0.4757,Gaia DR3 2073652546016392448,297.43038286550683,39.84788024984641,1.8473,1.501,5.1404,0,2016,4.364144025415393E-14
2073697660354300544,4885.962,4877.1104,4896.665,-0.0889,-0.0995,-0.0777,Gaia DR3 2073697660354300544,297.0420136439736,39.912185552845486,2.3442,-7.4948,-6.0878,16.8994,2016,0
