KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K00124.01,KOI-124,Kepler-110 b,2128925579652377472,0.014711,0.000277,0.000186
K00481.02,KOI-481,Kepler-166 d,2129025841368107136,0.019023,0.000471,0.000253
K00481.03,KOI-481,Kepler-166 c,2129025841368107136,0.030068,0.000735,0.000343
K00481.01,KOI-481,Kepler-166 b,2129025841368107136,0.02878,0.00051,0.000225
K00719.03,KOI-719,Kepler-220 e,2129084935820532608,0.017653,0.000678,0.000309
K00719.02,KOI-719,Kepler-220 d,2129084935820532608,0.013777,0.001888,0.00104
K00719.01,KOI-719,Kepler-220 c,2129084935820532608,0.021785,0.000835,0.000816
K00733.04,KOI-733,Kepler-224 e,2129161734133025408,0.026251,0.001715,0.000612
K00733.02,KOI-733,Kepler-224 d,2129161734133025408,0.033484,0.001012,0.000508
K00733.01,KOI-733,Kepler-224 c,2129161734133025408,0.04358,3.30E-05,0.005493
K00733.03,KOI-733,Kepler-224 b,2129161734133025408,0.019684,0.000683,0.000576
K00276.01,KOI-276,Kepler-509 b,2129495057954829952,0.018713,0.000249,0.000147
K01306.04,KOI-1306,Kepler-286 e,2129503716608032256,0.018086,0.000918,0.000827
K01306.03,KOI-1306,Kepler-286 d,2129503716608032256,0.014884,0.00059,0.000661
K01306.02,KOI-1306,Kepler-286 c,2129503716608032256,0.014856,0.000598,0.000462
K01306.01,KOI-1306,Kepler-286 b,2129503716608032256,0.013859,0.000653,0.000359
K00246.01,KOI-246,Kepler-68 A b,2129550445852902656,0.016869,0.000121,4.10E-05
K00173.01,KOI-173,Kepler-481 b,2129753580626548736,0.020903,1.70E-05,0.001179
K00584.03,KOI-584,Kepler-192 d,2130243550494676480,0.009987,0.000504,0.000332
K00584.02,KOI-584,Kepler-192 c,2130243550494676480,0.025571,0.000257,0.002807
K00584.01,KOI-584,Kepler-192 b,2130243550494676480,0.024821,0.000368,0.000447
K00934.03,KOI-934,Kepler-254 d,2130250731680096384,0.026945,0.000444,0.001193
K00934.02,KOI-934,Kepler-254 c,2130250731680096384,0.023578,0.000912,0.000464
K00934.01,KOI-934,Kepler-254 b,2130250731680096384,0.03806,0.000458,0.000636
K03165.01,KOI-3165,,2130320172711659136,0.005388,0.000172,0.000212
K00115.02,KOI-115,Kepler-105 c,2130368310704421120,0.012899,0.000299,0.000187
K00115.01,KOI-115,Kepler-105 b,2130368310704421120,0.022571,0.000319,0.000224
K00954.02,KOI-954,Kepler-259 c,2130405041264941184,0.027999,0.000815,0.000441
K00954.01,KOI-954,Kepler-259 b,2130405041264941184,0.027648,0.002239,0.000707
K00723.02,KOI-723,Kepler-222 d,2130460394803778816,0.040725,0.000639,0.00087
K00723.01,KOI-723,Kepler-222 b,2130460394803778816,0.034649,0.004444,0.000827
K01529.02,KOI-1529,Kepler-59 b,2130625287187139072,0.009258,0.000553,0.00045
K00528.03,KOI-528,Kepler-178 c,2130634667395736704,0.025805,0.004446,0.000826
K00528.01,KOI-528,Kepler-178 b,2130634667395736704,0.024883,0.000452,0.000199
K01909.03,KOI-1909,Kepler-334 d,2130661880308812800,0.012767,0.000227,0.000522
K01909.01,KOI-1909,Kepler-334 c,2130661880308812800,0.012595,0.000395,0.000141
K01909.02,KOI-1909,Kepler-334 b,2130661880308812800,0.009413,0.000342,0.000153
K00757.03,KOI-757,Kepler-229 b,2131114947819394816,0.029697,0.000765,0.000507
K02533.03,KOI-2533,,2131169545443676032,0.0075,0.000405,0.000595
K02533.01,KOI-2533,Kepler-1270 b,2131169545443676032,0.009463,1.70E-05,0.001374
K00292.01,KOI-292,Kepler-97 b,2131216137248338304,0.015166,6.60E-05,0.001366
K00275.02,KOI-275,Kepler-129 c,2131494313689868416,0.013406,0.000484,0.00018
K00275.01,KOI-275,Kepler-129 b,2131494313689868416,0.012824,0.000277,0.000178
K00046.02,KOI-46,Kepler-101 c,2131709921047710336,0.006862,0.000255,0.000539
K01445.01,KOI-1445,Kepler-853 b,2131859244171951616,0.010051,6.70E-05,0.000561
K02639.01,KOI-2639,,2132004074768150400,0.016931,0.000861,0.001585
K00072.02,KOI-72,Kepler-10 c,2132155017099178624,0.019777,0.000265,9.20E-05
K02632.01,KOI-2632,Kepler-1298 b,2132178725317511936,0.006214,0.000276,0.000126
K00351.04,KOI-351,Kepler-90 e,2132193431285570304,0.020172,0.000553,0.000457
K00351.03,KOI-351,Kepler-90 d,2132193431285570304,0.022125,0.000585,0.000293
