KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K01858.02,0.792,0.022,0.023,0.877,0.016,0.01,5425,60,60,0,0.04,13.019,0,0,0,0,0,0,0,0,0,0,0,0,1.82,1.131,1.802,1,1.6910162,0.0620623,0.5043785,0.2007248,0.2375559,0.1525668
K01860.01,0.995,0.027,0.028,1.021,0.035,0.027,5718,60,60,0.12,0.04,12.51,0,0,0,0,0,0,0,0,0,0,0,0,2.692,1.487,2.231,1,1.1004216,0.0596443,0.379875,0.1198624,0.2246541,0.1430857
K01883.01,1.558,0.039,0.04,1.183,0.048,0.034,6059,60,60,0.06,0.04,10.608,1.48,0.07,0.07,1.09,0.18,0.18,6287,169,169,-0.27,0.3,11.894,4.571,0.947,0.631,1,0.3102394,0.0202468,0.3243585,0.1399715,0.2352478,0.1419261
K01909.01,0.999,0.023,0.024,1.022,0.036,0.037,5866,60,60,0.01,0.04,11.409,0,0,0,0,0,0,0,0,0,0,0,0,2.754,1.395,2.22,1,1.0322759,0.062151,0.2919733,0.1252885,0.1814611,0.1195737
K01929.01,1.796,0.046,0.048,1.081,0.019,0.021,5634,60,60,0.07,0.04,11.183,0,0,0,0,0,0,0,0,0,0,0,0,7.943,0.549,0.549,1.004,0.1912952,0.0094458,0.2611573,0.1256522,0.1559853,0.1114301
K01930.01,1.752,0.044,0.045,1.105,0.021,0.026,5898,60,60,-0.01,0.04,10.756,1.74,0.08,0.08,1.14,0.08,0.08,5923,77,77,-0.07,0.1,12.119,6.457,0.446,0.446,1,0.2134772,0.0097898,0.345028,0.1252489,0.2310396,0.1399229
K01931.01,0.766,0.022,0.023,0.87,0.012,0.01,5446,60,60,0,0.04,12.874,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0.833,1.035,1,1.7777215,0.0591223,0.5949017,0.1555736,0.2842773,0.1584197
K01944.01,0.882,0.022,0.023,0.981,0.017,0.012,5739,60,60,0.07,0.04,12.528,0,0,0,0,0,0,0,0,0,0,0,0,0.457,0.6,0.284,1,1.3980603,0.0369208,0.3880707,0.140662,0.2608658,0.1436045
K01952.01,1.185,0.036,0.037,0.976,0.029,0.03,5722,60,60,0.07,0.04,12.994,0,0,0,0,0,0,0,0,0,0,0,0,9.12,1.47,1.68,1,0.6094147,0.0391071,0.6173248,0.1528021,0.3166356,0.1615053
K01955.01,1.363,0.033,0.034,1.213,0.018,0.031,6272,60,60,0.1,0.04,11.957,0,0,0,0,0,0,0,0,0,0,0,0,2.818,0.324,0.454,1,0.4812235,0.0148838,0.4354132,0.1717626,0.3272372,0.1753391
K02007.01,0.998,0.023,0.024,1.062,0.034,0.02,5846,60,60,0.1,0.04,11.717,0,0,0,0,0,0,0,0,0,0,0,0,1.23,1.076,1.218,1,1.0848126,0.044177,0.5859528,0.1773668,0.3253108,0.1648248
K02037.01,0.736,0.023,0.024,0.82,0.019,0.013,4883,60,60,0.2,0.04,13.016,0,0,0,0,0,0,0,0,0,0,0,0,2.042,2.022,2.351,1,1.9266679,0.0747928,0.7165132,0.1508251,0.2378569,0.1401019
K02038.03,0.853,0.025,0.026,0.947,0.017,0.016,5520,60,60,0.12,0.04,13.083,0,0,0,0,0,0,0,0,0,0,0,0,1.38,1.081,1.685,1,1.4534743,0.0565143,0.5116946,0.1803874,0.2445307,0.1635511
K02051.01,1.173,0.049,0.052,0.933,0.027,0.029,5769,60,60,-0.06,0.04,13.673,0,0,0,0,0,0,0,0,0,0,0,0,10,1.382,1.612,1,0.6028748,0.0561088,0.3857248,0.1674417,0.2941721,0.168365
K02086.01,1.433,0.041,0.042,1,0.025,0.026,5834,60,60,-0.04,0.04,12.516,0,0,0,0,0,0,0,0,0,0,0,0,8.913,0.821,1.026,1.0012,0.340813,0.0201374,0.3639347,0.1531617,0.2483583,0.1409539
K02110.01,1.449,0.044,0.046,1.326,0.013,0.032,6386,60,60,0.21,0.04,10.971,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0.306,0.497,1,0.4430399,0.0303201,0.3407522,0.1599803,0.2636198,0.1407626
K02148.01,1.583,0.039,0.04,1.226,0.075,0.031,5648,60,60,0.44,0.04,11.697,0,0,0,0,0,0,0,0,0,0,0,0,5.495,1.518,0.759,1,0.3119937,0.0145181,0.4916199,0.16976,0.2439908,0.1529305
K02149.01,1.454,0.034,0.035,1.271,0.021,0.013,6212,60,60,0.2,0.04,10.795,0,0,0,0,0,0,0,0,0,0,0,0,2.692,0.31,0.186,1,0.4192995,0.0152321,0.4103185,0.1723234,0.298152,0.173281
K02173.01,0.699,0.018,0.018,0.768,0.013,0.011,4859,60,60,0.11,0.04,10.674,0,0,0,0,0,0,0,0,0,0,0,0,1.66,1.49,2.216,1,2.1536885,0.0408388,0.7375517,0.1312914,0.2167862,0.136467
K02218.01,1.326,0.043,0.044,0.981,0.025,0.028,5602,60,60,0.14,0.04,12.859,0,0,0,0,0,0,0,0,0,0,0,0,10.965,1.262,1.262,1,0.4340866,0.0306565,0.5275458,0.1776963,0.2750384,0.1606199
K02290.01,0.677,0.019,0.019,0.721,0.026,0.017,4966,60,60,-0.24,0.04,12.527,0,0,0,0,0,0,0,0,0,0,0,0,4.571,3.368,5.999,1.002,2.2743967,0.0945957,0.5522151,0.1837622,0.2199462,0.1349412
