designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2126508676995012352,5957.4893,21.4613,19.2457,-0.4308,0.0224,0.0167,Gaia DR3 2126508676995012352,293.23002001492745,45.05336509063897,1.586,11.3283,8.455,-9.171,2016,7.105427357601002E-15
Gaia DR3 2126569051355142656,5739.8135,2.0098,2.9755,-0.0151,0.0057,0.0062,Gaia DR3 2126569051355142656,291.6531628,44.68826074894719,1.5087,-1.1161,-3.6498,-18.8327,2016,7.105427357601002E-15
Gaia DR3 2126576679217244160,4902.6416,19.7339,20.0524,0.0182,0.0218,0.0274,Gaia DR3 2126576679217244160,291.84193202688533,44.85812396384026,1.1797,-8.5055,0.0482,0,2016,0
Gaia DR3 2126601108991279872,5550.253,5.348,8.376,0.1289,0.0058,0.0082,Gaia DR3 2126601108991279872,291.8481797,44.96828140011728,2.7425,16.9765,5.4331,-58.238,2016,7.105427357601002E-15
Gaia DR3 2126801563705846528,5608.1343,2.0869,2.9902,-0.382,0.0062,0.0065,Gaia DR3 2126801563705846528,292.2490572,46.16478942246022,1.4298,4.4008,-10.3999,-112.5519,2016,0
Gaia DR3 2126878048483137152,5428.528,18.0236,13.8187,-0.0485,0.0197,0.0147,Gaia DR3 2126878048483137152,290.1443389872986,44.04987957,1.444,-0.1689,-8.7285,-20.4649,2016,0
Gaia DR3 2126918008858627712,6241.4805,19.0288,62.8989,-0.3202,0.0184,0.0468,Gaia DR3 2126918008858627712,289.3473656565553,44.20844164034926,4.3258,11.5531,-19.9575,-21.0509,2016,0
Gaia DR3 2127001056345369984,5610.265,6.1595,8.1676,0.0219,0.0069,0.009,Gaia DR3 2127001056345369984,290.82419316719063,44.64728636153362,1.5949,0.6422,23.1313,-78.296,2016,0
Gaia DR3 2127355923723254272,5889.3286,15.9951,17.6694,-0.2273,0.0113,0.0139,Gaia DR3 2127355923723254272,289.0775345809352,46.00516780007869,0.8136,-1.1065,-13.0985,12.1793,2016,7.105427357601002E-15
Gaia DR3 2127390970655877888,6251.631,11.884,14.5,-0.2603,0.0103,0.0108,Gaia DR3 2127390970655877888,290.9952034477912,45.19218685187189,1.0837,-7.9321,-8.1447,-20.5556,2016,4.068459176128923E-14
