KOI,Kepler name,P,P_err,k,k_err,Rp,e_Rp,E_Rp,Source,ntr,Flag 
K00490.03,Kepler-167 A c,7.4061092,7.5e-06,0.0181944,0.000476,1.4606502317116383,0.055097042,0.055097042,-1,99,1
K00490.04,Kepler-167 A d,21.80387,1.88e-05,0.0138076,0.0010162,1.1084770115739797,0.086963974,0.086963974,-1,34,1
K00500.03,Kepler-80 d,3.0721474,3.4e-06,0.0197765,0.0008029,1.4603897682460294,0.072077262,0.073325372,-1,229,1
K00500.04,Kepler-80 e,4.6453876,1.06e-05,0.0197009,0.0011436,1.4548071087016512,0.093800958,0.094756073,-1,152,1
K00505.01,Kepler-169 e,13.767073,1.51e-05,0.0253636,0.0010315,2.0112959800003134,0.097230218,0.098753317,-1,11,1
K00505.02,Kepler-169 c,6.1954334,1.26e-05,0.0158351,0.0009981,1.255700017856415,0.08568179,0.086358089,-1,25,1
K00505.03,Kepler-169 b,3.2505923,7.5e-06,0.0140501,0.0009249,1.1141521569730797,0.078911924,0.079490185,-1,51,1
K00505.04,Kepler-169 d,8.3481946,9.6e-06,0.0167357,0.0009389,1.327116266322259,0.082135743,0.082923106,-1,20,1
K00505.05,Kepler-169 f,87.0905986,2.07e-05,0.0310157,0.0013062,2.459499153,0.12190360260010787,0.1237208644718222,-1,2,0
K00508.01,Kepler-170 b,7.9305893,6.1e-06,0.0267232,0.0003651,2.879891233615026,0.087988765,0.090605344,-1,72,1
K00508.02,Kepler-170 c,16.6659109,1.31e-05,0.026278,0.0004352,2.8319131629795704,0.090492606,0.092955779,-1,35,1
K00509.01,Kepler-171 b,4.1669599,5.3e-06,0.0274167,0.0005424,2.757254030382089,0.11015139054580861,0.11275919119854991,-1,69,1
K00509.02,Kepler-171 c,11.4634769,1.34e-05,0.0328424,0.0008447,3.302908073087597,0.1426800861968871,0.1455738906453353,-1,25,1
K00510.01,Kepler-172 b,2.9403011,7.6e-06,0.0216443,0.0007118,2.464760484852856,0.11574996696059817,0.11916659192366824,-1,54,1
K00510.02,Kepler-172 c,6.3890187,1.27e-05,0.0235431,0.0007684,2.6809877229080765,0.12543926091428378,0.12916900171780094,-1,24,1
K00510.03,Kepler-172 d,14.6269863,2e-05,0.020554,0.0012888,2.340601775,0.16642322023272338,0.16858376214732929,-1,11,1
K00510.04,Kepler-172 e,35.1185229,1.97e-05,0.0247668,0.0021263,2.8203374549536697,0.25994009347828806,0.26195373188534476,-1,5,1
K00518.01,Kepler-174 b,13.981783,1.18e-05,0.0287249,0.0005544,2.2715756846474657,0.076478306,0.076478306,-1,22,1
K00518.02,Kepler-174 c,44.0004324,1.9e-05,0.022377,0.0005025,1.7695814117840738,0.062945255,0.062945255,-1,9,1
K00520.02,Kepler-176 b,5.4331131,6.6e-06,0.0154564,0.0005517,1.3268253487339492,0.060155087,0.06120899,-1,129,1
K00520.04,Kepler-176 e,51.1657906,1.93e-05,0.0146672,0.0010299,1.259077971257898,0.095158262,0.09576154,-1,15,1
K00528.01,Kepler-178 b,9.5766816,1.2e-05,0.0252097,0.0005212,2.428058020424578,0.085122049,0.087357826,-1,31,1
K00528.03,Kepler-178 c,20.5528157,1.75e-05,0.0278854,0.0012817,2.6857665550461736,0.14498687575830238,0.14660499261848953,-1,15,1
K00555.01,Kepler-598 b,3.7017594,4.3e-06,0.0153074,0.0004554,1.4125455888556153,0.059231538,0.060419812,-1,141,1
K00555.02,Kepler-598 c,86.4947793,2.02e-05,0.0272076,0.0007648,2.5106794990232197,0.10239792887912025,0.10456819374244357,-1,5,1
K00564.03,Kepler-603 d,6.2171254,1.78e-05,0.011278,0.0012118,1.9018324754393943,0.23540559265600855,0.24240813364897004,-1,28,0
K00567.01,Kepler-184 b,10.6875764,7.7e-06,0.0262755,0.0004046,2.3530157025368057,0.072721783,0.07522031,-1,76,1
K00567.02,Kepler-184 c,20.3030278,1.64e-05,0.0216603,0.0003722,1.9397166950831752,0.061746708040188086,0.063748304,-1,38,1
K00567.03,Kepler-184 d,29.0223461,1.74e-05,0.0246645,0.0004831,2.2087479132735455,0.073312536,0.075501182,-1,26,1
K00568.01,Kepler-605 b,3.3835398,5.2e-06,0.0165614,0.0005992,1.5535533689970367,0.068839027,0.069897493,-1,130,1
K00584.01,Kepler-192 b,9.9267346,1.21e-05,0.0249212,0.0004144,2.666666082695474,0.081145056,0.08343483,-1,35,1
K00584.02,Kepler-192 c,21.2234668,1.82e-05,0.0217668,0.0004801,2.329132918511782,0.078500238,0.080310498,-1,15,1
K00584.03,Kepler-192 d,6.4702796,1.46e-05,0.009832,0.0005713,1.0520625381226385,0.066752295,0.067190217,-1,54,1
K00612.01,Kepler-196 b,20.7399158,1.84e-05,0.025077,0.0005936,2.130805047443596,0.07440971,0.076443203,-1,16,1
K00612.02,Kepler-196 c,47.4276601,1.96e-05,0.0273178,0.0006394,2.3212069276649783,0.080642863,0.082869179,-1,8,1
K00623.01,Kepler-197 A c,10.3497242,1.08e-05,0.0100904,0.0001724,1.232699116,0.041985305507472516,0.041985306,-2,79,1
