ID	Teff	Teff-pe	Teff-err-new	FeH	FeH-pe	FeH-err-new	Logg	Logg-pe	Logg-err-new	Parallax	Parallax-e	G-Mag	G-Mag-Err	G-Mag-err-new	RA	DEC
5305241494923209856	6008.917	10.252	102.5139186	-0.7038	0.02355	0.132115868	4.3317	0.01555	0.04	2.948955953773163	0.09386134	12.492139	0.002912552	0.5	143.9265110718917	-60.35747317
5337273743301313536	6679.9697	24.5945	104.923255	-0.443	0.0146	0.130817277	4.1121	0.02965	0.04	0.6631946701500459	0.01675056	14.551385	0.002765066	0.5	166.97987800935422	-61.14624928
5337294049909975680	4921.7666	100.8957	143.4710503	-0.9781	0.24675	0.278900632	4.3689	0.038	0.04	0.3707259861648593	0.046247624	16.664139	0.002807533	0.5	167.32791966350302	-61.09526225
5351820556994135296	6568.681	8.27365	102.3350052	-0.1667	0.0069	0.130182987	4.0537	0.0036	0.04	2.8015816709245214	0.011562809	10.70588	0.002758689	0.5	155.98413662753396	-56.84311578
5357465071731312768	3322.5972	0.66665	102.0021785	-0.6889	0.00275	0.130029083	4.2712	0.00235	0.04	36.39961968417642	0.0162964	11.361207	0.00277772	0.5	156.74723948489844	-52.46782212
5376137837173646208	5861.0034	15.3878	103.1541778	-0.1694	0.01375	0.130725141	4.0373	0.01765	0.04	1.399822236241158	0.010871504	12.428867	0.002760341	0.5	171.8450516312595	-44.08870371
5385076140853434752	5836.351	4.271	102.0893797	0.288	0.00215	0.130017778	4.0852	0.0042	0.04	1.5501981330664956	0.011868403	12.557459	0.00276287	0.5	176.24022887012694	-38.13971588
5401743332678544640	6143.1733	6.63815	102.2157768	-0.2249	0.00435	0.130072758	4.2876	0.00455	0.04	1.8508702317659456	0.013605811	12.696447	0.002763384	0.5	166.31879549403698	-34.12274437
5409268527708808320	5478.038	12.9131	102.8141437	0.2007	0.01315	0.130663394	4.1103	0.0088	0.04	3.675804950197472	0.012962149	11.293369	0.002761669	0.5	144.53776521406772	-49.33522062
5411736896952029568	5454.128	13.69735	102.9155838	0.0589	0.01545	0.130914867	4.4169	0.0031	0.04	3.771219183904883	0.008988846	12.101234	0.002779584	0.5	148.41676021592826	-45.65910532
5453063823882876032	6191.335	14.2849	102.9954289	-0.2808	0.00575	0.130127101	4.3129	0.0041	0.04	2.679098210145971	0.01521659	12.03269	0.002763963	0.5	164.34913228686955	-29.9971227
545560867790611072	5905.5615	23.1463	104.5932656	-0.081	0.0449	0.137535486	4.1689	0.0077	0.04	12.93879997944267	0.017742598	8.043712	0.002763131	0.5	42.436652471054394	71.75308362260229
5509620021956148736	4495.351	7.3723	102.2660785	0.4926	0.0171	0.131119831	4.591	0.0015	0.04	21.104175311721473	0.010447734	10.103841	0.002761194	0.5	106.5591260459907	-47.58783586
5545555570947605376	5696.5625	29.3793	106.1468006	-0.045	0.02725	0.132825308	4.2424	0.0161	0.04	3.2294283077350774	0.01026077	11.829936	0.002761035	0.5	119.05981730323174	-35.11671161
5557345496687437696	5002.1724	7.60765	102.2833141	0.0608	0.0095	0.130346653	4.5149	0.0018	0.04	4.871383581697888	0.008559046	12.313561	0.002758455	0.5	101.1275017000872	-42.76224171
5560886336446650240	5635.6484	20.6565	104.0706058	0.1787	0.0229	0.132001553	4.2058	0.0183	0.04	4.068123554	0.009920982	10.839993	0.002757827	0.5	108.30140689027668	-42.40976247
5574766468155514752	5513.092	39.50855	109.384302	0.1461	0.03355	0.13425946	4.1184	0.0084	0.04	3.4768653467846584	0.011811644	10.919234	0.002759995	0.5	94.33635311314553	-38.32338632
5580554052549277056	6137.0757	8.38745	102.3442686	-0.1254	0.0084	0.130271102	3.9693	0.00275	0.04	2.9618930099652476	0.013374463	10.403227	0.002761524	0.5	99.73459286234014	-36.64612923
5656184406542140032	5471.7446	9.96125	102.4852502	-0.135	0.0109	0.130456161	4.3961	0.00325	0.04	3.3174169924985097	0.011654018	12.462805	0.002771101	0.5	135.4163013449002	-20.7203684
5664814198431308288	3204.3516	41.33135	110.0558063	-0.8728	0.17145	0.215162967	4.2799	0.1448	0.1448	106.01478813660522	0.022696694	9.891662	0.002810064	0.5	144.00748512333524	-21.66520086
5664957444179338240	5990.2417	8.75625	102.3751528	-0.0278	0.01065	0.130435511	4.2429	0.0048	0.04	8.776584558	0.014079508	9.263603	0.002760442	0.5	144.8750965123437	-20.98241745
5674618444832114304	5952.788	7.27465	102.2590853	-0.1971	0.0057	0.130124902	4.1177	0.01	0.04	1.4372389967324306	0.014470902	12.744031	0.002767037	0.5	140.50631399232083	-23.94609982
570653411060484480	6022.5796	1.7244	102.0145752	-0.2817	0.0052	0.130103958	4.196	0.0019	0.04	3.3763378597737765	0.011713563	11.036793	0.002760699	0.5	71.02813221696267	84.36426741021643
5710154317045164416	5571.3105	6.1875	102.1875	-0.1363	0.00535	0.13011004	4.3663	0.0023	0.04	5.059897792716188	0.019156164	11.148268	0.002762805	0.5	130.29515313751065	-16.03632892
