# ID	Teff	Teff-err	FeH	FeH-err	Logg	Logg-err	Parallax	Parallax-err	G-Mag	G-Mag-err	RA	DEC
2100524610190045312	6198.1123	102.9284249	-0.1496	0.130485871	4.279	0.160081261	1.7834123520649585	0.011072707	12.607149	0.01	287.40998848507724	39.65862469996582
2100597143598879616	4799.539	102.9936336	0.3784	0.133087377	4.5375	0.160040495	3.6017961801722684	0.010045121	13.304106	0.01	287.0516932245111	40.211419791538965
2100624562669914240	5653.4414	105.6482433	-0.0649	0.13213373	4.1947	0.16461376	0.5589099716252229	0.018811854	15.012537	0.01	287.89710653008274	40.63781396130587
2100906140725803392	5733.9683	102.7952692	-0.3441	0.130503266	4.4155	0.160937946	2.991886528152608	0.009822377	12.501771	0.01	287.0900198765759	41.373754485231544
2101035367703145088	6507.081	106.3924619	-0.272	0.131388365	4.2032	0.170205178	1.088597295162158	0.010933318	13.443366	0.01	289.7473166893232	39.52341196
2101175933393051008	5806.7954	102.0195531	-0.2675	0.130202007	4.105	0.160037191	2.1098146401932127	0.008858635	12.287978	0.01	290.3926781073965	40.28490879813724
2101188990094347648	5672.3057	115.6477994	-0.2035	0.143178211	4.3901	0.161276354	0.7249752889588357	0.024613641	15.3762245	0.01	290.4617929716266	40.562497502485485
2101230049979183232	5523.122	106.875127	-0.0759	0.135162865	4.5013	0.160606981	1.9943055461117012	0.012308684	13.780965	0.01	288.8119787111693	39.77064224170719
2101243789577188736	5728.0405	102.0205743	-0.1621	0.13007444	4.1737	0.160017257	1.9910200864539493	0.009243771	12.239382	0.01	288.98455099501314	40.06448443351056
2101305259145506816	5729.0186	102.0099955	-0.5214	0.130107994	4.3039	0.160007031	3.199879574536649	0.008839006	11.81978	0.01	288.4505881825587	40.24519656002707
2101719263935952768	6281.9023	103.1571183	-0.4644	0.130498889	4.1393	0.160281783	1.1459107547964087	0.010129712	13.37611	0.01	291.6467777030923	41.884685054874744
2101733244046205568	5713.757	103.4851593	-0.1335	0.130633543	4.0225	0.16055183	3.2951473062333156	0.010145132	11.128601	0.01	291.3861331778195	41.99013540916447
2101768089124657664	4920.1973	103.3660197	0.0343	0.132242438	4.5232	0.16050324	1.2068404478138794	0.025171608	15.587101	0.01	291.6389978738737	42.436348857049516
2101854881822529024	5357.391	117.1516457	0.1641	0.142700114	4.3021	0.174442684	0.48562955032526023	0.027117183	15.722793	0.01	290.21514533408595	41.77598147
2101898759208960640	5709.5615	104.5699692	-0.0199	0.133518547	4.1379	0.161398389	1.1555745987512698	0.010042741	13.153573	0.01	290.03051943842615	42.16605588114973
2101964558106974848	5361.1396	103.9500921	-0.1488	0.131629869	4.4329	0.161644672	1.7364417585998428	0.012911744	13.939277	0.01	291.16945474172394	42.640725643996504
2102063136195478656	5436.413	102.8848323	-0.0879	0.130968737	4.4688	0.160360726	1.1296438917878264	0.019278504	14.964525	0.01	288.2341027	40.520897199483564
2102067396802935680	4872.114	104.2268606	-0.0738	0.132458144	4.5167	0.163307348	1.2985207197542263	0.02400013	15.539731	0.01	288.53871507239586	40.616051604079914
2102070660978313472	5701.0234	102.1584188	-0.4455	0.130236794	3.8414	0.160116239	0.7807042078404502	0.012040838	13.740194	0.01	288.47490434916426	40.65128308596366
2102110174677569664	5791.2915	106.4497661	0.1274	0.13288718	4.4504	0.161106556	4.414696142218847	0.012268265	11.486023	0.01	288.5308935866893	40.94237482077503
2102119176929154304	6059.0317	102.1018562	-0.09	0.13012932	4.1882	0.16001653	3.345385205610187	0.010833366	10.966515	0.01	288.68872237566757	41.15110556399753
2102224661326132864	5891.172	102.1081418	-0.1921	0.130077861	4.0889	0.160025381	2.123246395871644	0.011339563	11.739444	0.01	289.0860606957026	41.563024402534495
2102316985943863424	5604.718	103.9564978	-0.4355	0.131669321	4.1565	0.160315322	0.9621123684836335	0.013678568	13.90133	0.01	288.9612538804393	42.26504827925599
2102454253097554304	5761.499	102.0883202	-0.6752	0.130311166	4.352	0.160024498	2.4899671296595995	0.009673009	12.5618305	0.01	287.6046628914455	42.16650304
2102469921138142208	5316.3037	105.7182088	-0.3132	0.133484419	4.5507	0.16046826	0.934411375	0.024264941	15.534218	0.01	287.2426401236034	42.30142035535178
2102548708017562112	5485.2905	103.925261	0.0133	0.13172533	4.4571	0.160495358	3.5076113355926255	0.009452877	12.445517	0.01	287.69799066943483	42.33857435905501
2102587087846067712	5663.4033	166.5990352	0.1552	0.202874499	4.3542	0.166113282	1.0905145431603949	0.015382702	14.604491	0.01	287.77357366896035	42.86927473108726
2102610280669509888	5695.1113	104.0985841	-0.0343	0.131733405	4.0797	0.160823078	1.4569462997970237	0.013154713	12.976315	0.01	287.6208161053627	43.14162272811344
2102700131386216576	5034.4243	103.2501445	0.1836	0.131338075	4.5626	0.160284754	1.322650252310549	0.022529317	15.241762	0.01	289.26873941114707	42.60418198620864
2102911581215700096	4950.7656	103.1057592	0.4534	0.131240238	4.5467	0.160290744	1.5199407361967345	0.021824287	15.033538	0.01	288.64256193394345	43.03937918445241
2103452266056715392	6033.1323	102.0712446	-0.1179	0.13011419	4.2463	0.160029068	4.346250551471378	0.011003681	10.784694	0.01	284.63518880288655	40.71982920386645
2103788854053938816	4847.324	102.7417751	0.1021	0.131030378	4.5478	0.160067556	2.4440225171520606	0.013855725	14.146967	0.01	285.9999212956392	40.91938370308377
2103845032226500352	4773.7817	107.1759138	0.2302	0.142638319	4.5585	0.160916508	1.4419319302172462	0.02578088	15.594337	0.01	285.2166763149635	41.28244465427404
2104094071610116608	5069.1353	102.6324742	-0.0471	0.130507663	4.5329	0.160053811	2.2176005059519652	0.012940859	14.091172	0.01	284.96850713006694	42.07911920642599
2104098950692667264	5306.1978	103.2127087	0.1505	0.131192692	4.411	0.160148712	1.367988349663441	0.014640858	14.334707	0.01	284.52119791922325	41.62965784747268
2104376405579347968	4653.602	102.3815	-0.1486	0.13040346	4.5691	0.160052523	3.543825102	0.011956515	13.83135	0.01	282.9734893096095	41.32179226733138
2104466153215402624	5493.599	104.685279	0.0151	0.131614218	4.159	0.160066111	1.3374798321601467	0.009817472	13.303596	0.01	283.1920769795168	41.30541886105221
2104506319750394624	5330.15	103.8447095	0.1319	0.131622035	4.3903	0.160244571	1.2080444224708453	0.017472884	14.525958	0.01	283.36840944228095	41.82183959437288
2104847370214740352	5242.6987	102.4350249	0.0496	0.130376417	4.4947	0.160321622	3.333088562086436	0.012840786	12.931182	0.01	282.1355902789756	43.03919833552501
2105135854577044480	5824.924	102.0135534	-0.136	0.130088585	4.3723	0.160013781	3.6682401855033553	0.010995124	11.612125	0.01	283.37488947361595	43.788374906919074
2105221139747765504	5229.7573	102.303789	-0.0099	0.130000346	3.3715	0.16014022	0.4158266722414004	0.022127705	15.418138	0.01	282.4391394898699	43.73442786
2105274977158196480	6717.0483	102.3962055	-0.1927	0.130224892	4.1672	0.160099727	1.7090638533656994	0.010984425	11.956819	0.01	281.9712353072644	43.672785039279724
2105362903731391744	5486.0767	102.1675767	0.2758	0.130133816	4.3452	0.160067556	2.5642966086471146	0.010022429	12.668454	0.01	282.3919461621286	43.889418869144784
2105415302330571008	5661.6255	104.3337556	-0.053	0.131774059	4.3192	0.160153052	1.7737741361969648	0.009459022	13.394148	0.01	282.1856917812003	44.434461611073694
